## 1.  01. 분수의 덧셈 (1)
  t0L1 l | ① 분모가 같은 분수를 더할 때 분모와 분자 중 무엇끼리 더할까?
  t0L2 l | ② 3/6 + 2/6을 어떻게 계산할까?
  t0L3 l | ③ 계산 결과가 가분수이면 무엇으로 바꿀까?
  t0H1 h | ① 분모가 같은 분수의 덧셈에서 분모는 그대로 두고 분자만 더하는 이유를 설명해 봐.
  t0H2 h | ② 5/6 + 2/6처럼 합이 1보다 커지면 대분수로 바꾸는 과정을 말해 줘.
  qrecall qrec | 분모가 같은 분수끼리 더할 때 분모와 분자 중 어느 것을 더할까?
  qreason qrea | 분모가 같은 분수를 더할 때 분모는 안 더하고 그대로 두는 이유가 뭘까?
  qexample qexa | 분모가 7인 진분수 두 개를 더해서 합이 1보다 크게(가분수가) 되는 덧셈식을 하나 만들어 말해 봐.
  qcondition qcon | 분모가 다른 분수끼리도 분자만 더하면 될까? 이 방법을 쓸 수 있는 조건이 뭘까?
  qerror qerr | 친구가 3/6+2/6을 계산하면서 분모도 더해서 5/12라고 했어. 어디가 틀렸을까?
## 1.  02. 분수의 덧셈 (2)
  t0L1 l | ① 대분수끼리 더할 때 자연수 부분과 분수 부분을 어떻게 더할까?
  t0L2 l | ② 분수 부분을 더한 결과가 가분수이면 어떻게 할까?
  t0H1 h | ① 대분수의 덧셈에서 '자연수는 자연수끼리, 분수는 분수끼리' 더하는 방법을 설명해 봐.
  t0H2 h | ② 대분수를 가분수로 바꾸어 더하는 방법과 결과가 같은 이유를 말해 줘.
  qrecall qrec | 대분수끼리 더할 때 자연수 부분과 분수 부분을 각각 어떻게 더할까?
  qreason qrea | 1과 3/5에 2와 4/5를 더하면 얼마일까? 분수 부분의 합 7/5에서 자연수 1이 생기는 이유를 설명해 봐.
  qexample qexa | 분수 부분을 더하면 가분수가 되는 대분수 덧셈식을 하나 만들어서 계산 과정을 말해 봐.
  qcondition qcon | 3/5와 4/5를 더할 때 분모 5는 그대로 두고 분자끼리 더해도 되는 이유를 말해 봐.
  qerror qerr | 친구가 1과 2/5 + 2와 4/5를 계산하면서 분수 부분 2/5+4/5=6/5이 나왔는데 그냥 3과 6/5라고 답했어. 어디가 틀렸을까?
## 1.  03. 분수의 뺄셈 (1)
  t0L1 l | ① 분모가 같은 분수를 뺄 때 무엇끼리 뺄까?
  t0L2 l | ② 5/6 - 2/6을 어떻게 계산할까?
  t0H1 h | ① 분모가 같은 분수의 뺄셈에서 분모는 그대로 두고 분자만 빼는 이유를 설명해 봐.
  t0H2 h | ② 분수의 뺄셈이 덧셈과 방법이 비슷한 점을 말해 줘.
  qrecall qrec | 분모가 같은 분수를 뺄 때 분모와 분자 중 어느 것을 뺄까?
  qreason qrea | 분모가 같은 분수를 뺄 때 분모는 그대로 두는 이유가 뭘까?
  qexample qexa | 분모가 9인 분수끼리 빼서 결과가 3/9이 되는 뺄셈식을 하나 만들어 말해 봐.
  qerror qerr | 친구가 2/6-5/6을 계산해야 한다면서 그냥 3/6이라고 답했어. 뭐가 문제일까?
## 1.  04. 분수의 뺄셈 (2)
  t0L1 l | ① 대분수끼리 뺄 때 자연수 부분과 분수 부분을 어떻게 뺄까?
  t0L2 l | ② 3 - 1과 3/4처럼 자연수에서 대분수를 뺄 때는 어떻게 할까?
  t0H1 h | ① (자연수)-(대분수)에서 자연수 1을 가분수로 바꾸어 빼는 과정을 설명해 봐.
  t0H2 h | ② 대분수를 모두 가분수로 바꾸어 빼도 답이 같은 이유를 말해 줘.
  qrecall qrec | 3에서 1과 3/4을 뺄 때 어떻게 계산하는지 순서대로 말해 봐.
  qreason qrea | 자연수에서 대분수를 뺄 때 왜 자연수 1을 가분수로 바꿔야 할까?
  qexample qexa | 자연수에서 대분수를 빼는 식을 하나 만들고, 자연수 1을 어떤 가분수로 바꿔야 하는지 말해 봐.
  qcondition qcon | 자연수에서 1을 가분수로 바꿀 때, 그 가분수의 분모는 어떻게 정해질까?
  qerror qerr | 친구가 3 - 1과 3/4을 계산하는데, 분수는 뺄 수 없다면서 자연수만 3-1=2로 계산하고 답을 2라고 했어. 어디가 틀렸을까?
## 1.  05. 분수의 뺄셈 (3)
  t0L1 l | ① 분수 부분끼리 뺄 수 없으면 어떻게 할까?
  t0L2 l | ② 자연수에서 1을 가분수로 바꿔 내려 계산할 수 있을까?
  t0H1 h | ① 분수 부분끼리 뺄 수 없을 때 자연수에서 1을 받아내려 빼는 과정을 설명해 봐.
  t0H2 h | ② 이 받아내림이 세 자리 수 뺄셈의 받아내림과 비슷한 점을 말해 줘.
  qrecall qrec | 3과 1/4에서 1과 3/4을 뺄 때, 분수 부분끼리 뺄 수 없으면 어떻게 하는지 말해 봐.
  qreason qrea | 분수 부분끼리 뺄 수 없을 때 왜 자연수에서 1을 빌려와야 할까?
  qexample qexa | 분수 부분끼리 뺄 수 없는 대분수 뺄셈 식을 하나 만들어서 어떻게 받아내림하는지 말해 봐.
  qerror qerr | 친구가 3과 1/4 - 1과 3/4을 계산하는데, 1/4에서 3/4을 뺄 수 없으니까 거꾸로 3/4에서 1/4을 빼서 2/4라고 하고, 자연수는 3-1=2로 계산해서 2와 2/4이라고 답했어. 뭐가 틀렸을까?
## 2.  01. 변의 길이에 따라 삼각형 분류하기
  t0L1 l | ① 두 변의 길이가 같은 삼각형을 무엇이라고 할까?
  t0L2 l | ② 세 변의 길이가 같은 삼각형을 무엇이라고 할까?
  t0H1 h | ① 이등변삼각형과 정삼각형을 변의 길이로 구분해서 설명해 봐.
  t0H2 h | ② 정삼각형도 이등변삼각형이라고 할 수 있는 이유를 말해 줘.
  qrecall qrec | 두 변의 길이가 같은 삼각형과 세 변의 길이가 모두 같은 삼각형을 각각 뭐라고 부르는지 말해 봐.
  qreason qrea | 정삼각형도 이등변삼각형이라고 부를 수 있는 이유가 뭘까?
  qexample qexa | 두 변만 길이가 같은 이등변삼각형을 하나 정해서 세 변의 길이를 말해 봐.
  qcondition qcon | 삼각형이 이등변삼각형인지 아닌지 확인하려면 무엇을 봐야 할까?
  qerror qerr | 친구가 삼각형의 세 변 중 두 변만 재보고 길이가 같길래, 나머지 한 변도 안 재보고 이 삼각형은 이등변삼각형이라고만 했어. 그런데 사실 세 변이 다 똑같았어. 뭐가 문제일까?
## 2.  02. 이등변삼각형의 성질
  t0L1 l | ① 이등변삼각형에서 크기가 같은 두 각은 어디에 있을까?
  t0L2 l | ② 이등변삼각형을 접으면 어떻게 될까?
  t0H1 h | ① 이등변삼각형에서 두 각의 크기가 같은 것을 '접으면 겹쳐진다'로 설명해 봐.
  t0H2 h | ② 한 각을 알 때 나머지 각들을 구하는 방법을 말해 줘.
  qrecall qrec | 이등변삼각형에서 크기가 같은 두 각이 어디에 있는지 말해 봐.
  qreason qrea | 이등변삼각형에서 두 각의 크기가 같은 이유를 접기를 이용해서 설명해 봐.
  qexample qexa | 이등변삼각형을 하나 만들어서(변의 길이와 각도를 정해서) 어느 두 각이 같은지 말해 봐.
  qcondition qcon | 이등변삼각형에서 한 각의 크기를 알면 나머지 각들을 구할 수 있을까? 어떤 조건이 필요할까?
  qerror qerr | 친구가 이등변삼각형에서, 길이가 같은 두 변이 만나는 꼭짓점의 각과 그 옆에 있는 아무 각이나 골라서 이 두 각이 서로 같다고 했어. 뭐가 틀렸을까?
## 2.  03. 정삼각형의 성질
  t0L1 l | ① 정삼각형의 세 각의 크기는 어떨까?
  t0L2 l | ② 정삼각형의 한 각은 몇 도일까?
  t0H1 h | ① 정삼각형의 세 각이 모두 같고 각각 60도인 이유를 설명해 봐. (180÷3)
  t0H2 h | ② 정삼각형은 크기가 달라도 모양이 모두 같은 이유를 말해 줘.
